t,x,y,match,team,player,won,tstd,tsync,tper,tier,zone
3183666,22,40,589072947,dire,%5BA%5Dkke%20HyperX,1,2522933,2523,0.000792416172073973,Pro,jungle radiant
3182866,10,36,589072947,dire,Lod%5BA%5D%20HyperX,1,2522133,2523,0.000792416172073973,Pro,base1 radiant
3183733,12,30,589072947,radiant,MYM%20%7C%20Ryze,0,2523000,2523,0.000792416172073973,Pro,base1 radiant
3183866,13,25,589072947,radiant,MYM%20Ace,0,2523133,2524,0.000792730249034763,Pro,base1 radiant
3180066,49,33,589072947,radiant,MYM%20Cr1t%2D,0,2519333,2520,0.000791473941191602,Pro,jungle radiant
3183933,37,41,589072947,radiant,MYM%20LINK,0,2523200,2524,0.000792730249034763,Pro,midlane radiant
3183866,29,31,589072947,radiant,MYM%20unicorn,0,2523133,2524,0.000792730249034763,Pro,midlane radiant
2940100,99,111,589157786,dire,%5BA%5D%20EGM%20HyperX,0,2252734,2253,0.000763979243365537,Pro,void dire
2949033,91,110,589157786,dire,%5BA%5D%20s4%20HyperX,0,2261667,2262,0.000767031091208542,Pro,base2 dire
2940100,84,96,589157786,dire,%5BA%5DdmiralBulldog%20HyperX,0,2252734,2253,0.000763979243365537,Pro,jungle dire
2940100,107,103,589157786,dire,%5BA%5Dkke%20HyperX,0,2252734,2253,0.000763979243365537,Pro,base2 dire
2948966,110,108,589157786,dire,Lod%5BA%5D%20HyperX,0,2261600,2262,0.000767031091208542,Pro,base2 dire
2945766,92,105,589157786,radiant,Virtus%20pro%20%3E%20G,1,2258400,2259,0.000766013808594207,Pro,base2 dire
2948433,98,108,589157786,radiant,Virtus%2Epro%20%3E%20AA,1,2261067,2262,0.000767031091208542,Pro,base2 dire
2948633,94,108,589157786,radiant,Virtus%2Epro%20%3E%20IllidanSTR,1,2261267,2262,0.000767031091208542,Pro,base2 dire
2948900,96,106,589157786,radiant,Virtus%2Epro%20%3E%20JotM,1,2261534,2262,0.000767031091208542,Pro,base2 dire
2948433,94,109,589157786,radiant,Virtus%2Epro%20%3E%20NS,1,2261067,2262,0.000767031091208542,Pro,void dire
2760266,102,90,590348637,dire,%5BHyperX%5D%20Liquid%60TC,0,1850866,1851,0.000670587544823579,Pro,base2 dire
2760266,116,107,590348637,dire,%5BHyperX%5D%20Liquid%60wayto,0,1850866,1851,0.000670587544823579,Pro,base2 dire
2760266,96,94,590348637,dire,2%2E,0,1850866,1851,0.000670587544823579,Pro,base2 dire
2760266,82,94,590348637,radiant,C9%20Aui_2000,1,1850866,1851,0.000670587544823579,Pro,jungle dire
2760266,89,90,590348637,radiant,C9%20bOne7,1,1850866,1851,0.000670587544823579,Pro,midlane dire
2760266,80,95,590348637,radiant,C9%20EternaLEnVy,1,1850866,1851,0.000670587544823579,Pro,jungle dire
2760266,80,95,590348637,radiant,C9%20pieliedie,1,1850866,1851,0.000670587544823579,Pro,jungle dire
2760266,91,87,590348637,radiant,C9%20SingSing,1,1850866,1851,0.000670587544823579,Pro,midlane dire
2760266,110,97,590348637,dire,STAND%2DIN%2Edemondoto%20%23teamblack,0,1850866,1851,0.000670587544823579,Pro,base2 dire
2760266,93,104,590348637,dire,YOLO,0,1850866,1851,0.000670587544823579,Pro,base2 dire
3245200,116,81,590436483,dire,%2A%2A%2A,0,2395800,2396,0.000738245459220412,Pro,base2 dire
3245400,112,85,590436483,radiant,%5BHyperX%5D%20Liquid%60BuLba,1,2396000,2396,0.000738245459220412,Pro,base2 dire
3242000,114,81,590436483,radiant,%5BHyperX%5D%20Liquid%60qojqva,1,2392600,2393,0.000737321111817381,Pro,base2 dire
3244266,111,84,590436483,radiant,%5BHyperX%5D%20Liquid%60TC,1,2394866,2395,0.000737937343419401,Pro,base2 dire
3244400,117,76,590436483,radiant,%5BHyperX%5D%20Liquid%60wayto,1,2395000,2395,0.000737937343419401,Pro,bottomlane dire
3244733,112,85,590436483,dire,MYM%20Cr1t%2D,0,2395333,2396,0.000738245459220412,Pro,base2 dire
3243266,113,85,590436483,dire,MYM%20LINK,0,2393866,2394,0.000737629227618391,Pro,base2 dire
3245333,110,80,590436483,radiant,STAND%2DIN%2Edemondoto%20%23teamblack,1,2395933,2396,0.000738245459220412,Pro,base2 dire
3245400,111,105,590436483,dire,sylar,0,2396000,2396,0.000738245459220412,Pro,base2 dire
3245533,109,83,590436483,dire,xPppPppP,0,2396133,2397,0.000738553575021422,Pro,base2 dire
2830733,18,14,590518928,radiant,%5BHyperX%5D%20Liquid%60BuLba,0,1864500,1865,0.000658809000496668,Pro,base1 radiant
2830866,7,7,590518928,radiant,%5BHyperX%5D%20Liquid%60qojqva,0,1864633,1865,0.000658809000496668,Pro,base1 radiant
2830733,15,19,590518928,radiant,%5BHyperX%5D%20Liquid%60TC,0,1864500,1865,0.000658809000496668,Pro,base1 radiant
2829266,10,11,590518928,radiant,%5BHyperX%5D%20Liquid%60wayto,0,1863033,1864,0.000658455751702836,Pro,base1 radiant
2830733,32,32,590518928,dire,C9%20Aui_2000,1,1864500,1865,0.000658809000496668,Pro,midlane radiant
2830466,30,26,590518928,dire,C9%20bOne7,1,1864233,1865,0.000658809000496668,Pro,base1 radiant
2829466,27,28,590518928,dire,C9%20Kotori,1,1863233,1864,0.000658455751702836,Pro,base1 radiant
2830266,29,34,590518928,dire,C9%20pieliedie,1,1864033,1865,0.000658809000496668,Pro,midlane radiant
2830866,25,29,590518928,dire,C9%20SingSing,1,1864633,1865,0.000658809000496668,Pro,base1 radiant
2820200,22,25,590518928,radiant,STAND%2DIN%2Edemondoto%20%23teamblack,0,1853967,1854,0.000654923263764516,Pro,base1 radiant
2537066,62,60,591705499,radiant,%5BHyperX%5D%20Liquid%60BuLba,1,1631633,1632,0.000642874025053179,Pro,midlane dire
2538600,62,69,591705499,radiant,%5BHyperX%5D%20Liquid%60TC,1,1633167,1634,0.000643661860868195,Pro,midlane dire
2538600,62,63,591705499,radiant,%5BHyperX%5D%20Liquid%60wayto,1,1633167,1634,0.000643661860868195,Pro,midlane dire
2538466,113,101,591705499,dire,RoX%2EKIS%2E633%3C3%20Sveta,0,1633033,1634,0.000643661860868195,Pro,base2 dire
2520133,77,80,591705499,dire,RoX%2EKIS%2EGoblak,0,1614700,1615,0.000636177420625542,Pro,midlane dire
2538600,98,89,591705499,dire,RoX%2EKIS%2ESedoy,0,1633167,1634,0.000643661860868195,Pro,base2 dire
2538333,92,84,591705499,dire,RoX%2EKIS%2ESolo,0,1632900,1633,0.000643267942960687,Pro,midlane dire
2534133,101,88,591705499,dire,RoX%2EKIS%2Eyol,0,1628700,1629,0.000641692271330655,Pro,base2 dire
2538466,77,75,591705499,radiant,TBD%20BUFFNSTUFF,1,1633033,1634,0.000643661860868195,Pro,midlane dire
2538333,74,70,591705499,radiant,YOLO,1,1632900,1633,0.000643267942960687,Pro,midlane dire
2940100,63,68,591798786,dire,%5BHyperX%5D%20Liquid%60BuLba,1,2050567,2051,0.000697595319887079,Pro,midlane dire
2940100,61,73,591798786,dire,%5BHyperX%5D%20Liquid%60qojqva,1,2050567,2051,0.000697595319887079,Pro,jungle dire
2940100,61,67,591798786,dire,%5BHyperX%5D%20Liquid%60TC,1,2050567,2051,0.000697595319887079,Pro,void dire
2940100,81,19,591798786,dire,%5BHyperX%5D%20Liquid%60wayto,1,2050567,2051,0.000697595319887079,Pro,void radiant
2940100,51,94,591798786,radiant,%CE%A3%3C3Paris%CE%A3,0,2050567,2051,0.000697595319887079,Pro,jungle dire
2940100,74,13,591798786,radiant,d%C3%B8den,0,2050567,2051,0.000697595319887079,Pro,bottomlane radiant
2940100,34,35,591798786,radiant,FATA%2D,0,2050567,2051,0.000697595319887079,Pro,midlane radiant
2940100,52,106,591798786,radiant,paS%2D%2D%2D%2D,0,2050567,2051,0.000697595319887079,Pro,toplane dire
2940100,76,10,591798786,radiant,SIGMA%2010%2D,0,2050567,2051,0.000697595319887079,Pro,bottomlane radiant
2940100,61,67,591798786,dire,standin%2E%2Edotademon,1,2050567,2051,0.000697595319887079,Pro,void dire
2520166,83,56,591890072,dire,Fnatic%2EEra,0,1641533,1642,0.000645905892848854,Pro,pit dire
2520166,80,64,591890072,dire,Fnatic%2EFly,0,1641533,1642,0.000645905892848854,Pro,jungle dire
2541833,112,49,591890072,dire,Fnatic%2EH4nn1%20%E2%99%A5%20Missy,0,1663200,1664,0.000654559930390069,Pro,bottomlane dire
2531966,91,49,591890072,dire,Fnatic%2EN0tail,0,1653333,1654,0.000650626276962244,Pro,jungle dire
