x,y,count
86,8,1
88,52,3
119,32,2
66,8,2
59,23,1
104,7,5
95,83,4
85,55,5
38,9,4
14,87,2
14,99,3
46,44,4
50,11,2
13,94,2
49,57,2
65,45,2
43,42,1
71,58,1
36,53,3
31,92,3
20,64,2
63,60,7
66,11,1
49,31,2
57,9,4
110,27,2
59,11,2
66,60,11
67,38,2
17,39,1
16,58,3
52,11,5
36,32,4
22,95,3
64,102,2
62,97,1
46,73,2
83,45,3
49,12,5
66,77,5
34,35,7
62,70,1
28,91,5
110,62,1
65,100,1
68,101,2
96,54,2
121,28,4
51,12,3
25,35,1
32,32,3
17,74,6
114,52,6
25,90,4
16,73,3
114,42,10
23,107,1
16,99,6
108,63,2
49,107,1
116,70,1
29,109,6
57,109,1
113,45,7
53,106,1
69,74,1
114,64,2
15,83,7
16,80,6
76,72,1
49,72,1
9,16,6
119,30,2
6,92,1
25,92,2
72,94,3
78,95,1
84,73,5
53,34,3
70,11,1
43,10,1
55,57,10
115,45,1
121,65,2
110,80,3
44,13,3
83,99,3
88,103,1
113,102,2
84,104,4
88,44,1
69,33,1
99,52,1
84,96,2
106,77,1
85,102,5
97,19,4
92,49,2
46,108,4
110,65,1
56,16,1
91,103,1
122,90,1
86,103,10
81,101,1
17,88,5
24,96,2
26,108,6
82,51,4
66,19,1
102,56,1
78,100,1
89,105,1
104,96,1
94,62,1
83,106,3
108,14,3
44,61,3
82,32,3
71,21,4
91,81,5
68,88,1
51,107,3
112,79,1
105,64,1
87,102,1
63,61,10
82,86,3
85,75,2
69,100,1
90,109,1
95,97,1
77,70,3
30,100,2
95,74,2
86,107,12
92,94,1
62,105,5
93,93,1
108,55,3
15,81,8
50,87,1
107,109,2
112,36,8
78,71,5
74,106,2
99,62,1
114,67,5
115,99,1
54,35,5
58,38,1
76,29,5
77,69,4
37,99,1
115,65,2
80,101,1
106,43,1
117,70,1
89,38,1
100,72,2
104,86,1
52,89,2
100,55,1
122,95,3
114,35,5
22,96,2
105,107,1
104,12,5
115,39,4
45,76,1
74,62,3
83,43,2
43,83,2
84,42,2
83,42,2
38,43,1
48,87,1
114,46,2
85,42,2
73,72,2
67,30,1
81,22,1
49,64,3
103,17,1
99,44,1
55,104,1
59,39,2
51,52,7
54,50,4
59,51,2
114,30,4
96,88,3
70,63,8
59,55,3
95,87,57
105,89,2
38,105,2
119,99,1
120,28,4
120,29,5
50,107,4
108,107,1
24,94,1
25,106,1
