x,y,Tier,WinLose
114,108,High,0
17,11,High,1
24,19,High,1
108,107,High,0
111,81,High,0
12,20,High,1
9,7,High,1
11,8,High,1
24,17,High,1
98,101,High,0
116,108,High,0
104,108,High,0
56,91,High,0
13,11,High,1
103,99,High,0
12,11,High,1
91,86,High,0
12,8,High,1
116,108,High,0
10,8,High,1
89,103,High,0
37,11,High,1
111,62,High,0
12,12,High,1
48,108,High,0
49,68,Normal,1
87,79,Normal,0
28,105,Normal,0
115,108,Normal,0
12,42,Normal,1
55,10,Normal,1
44,11,Normal,1
13,38,Normal,1
79,108,Normal,0
111,53,Normal,0
39,38,Normal,1
109,17,Normal,1
114,56,Normal,0
66,105,Normal,0
14,51,Normal,1
57,10,Normal,1
11,10,Normal,1
74,105,Normal,0
72,63,Normal,0
114,48,Normal,0
41,10,Normal,1
11,8,Normal,1
111,66,Normal,0
88,106,Normal,0
32,32,Normal,1
103,59,Normal,0
117,110,Normal,0
67,16,Normal,1
16,26,Normal,1
88,105,Normal,0
77,108,Normal,1
81,76,Normal,1
53,106,Normal,1
15,75,Normal,0
14,22,Normal,0
15,11,Normal,0
111,44,Normal,1
110,63,Normal,1
53,49,Normal,0
9,7,Normal,0
26,29,High,0
12,31,High,0
106,107,High,1
102,99,High,1
14,24,High,0
116,107,High,1
28,8,High,0
80,105,High,1
13,38,High,0
115,104,High,1
112,44,Normal,0
31,31,Normal,1
15,30,Normal,1
47,98,Normal,0
25,15,Normal,1
89,81,Normal,0
68,103,Normal,0
46,10,Normal,1
9,7,Normal,1
111,42,Normal,0
55,10,High,0
38,15,High,0
11,10,High,0
14,49,High,0
88,102,High,1
105,107,High,1
89,84,High,1
119,108,High,1
54,9,High,0
114,108,High,1
14,64,Normal,1
14,65,Normal,1
40,52,Normal,1
71,9,Normal,1
89,107,Normal,0
12,10,Normal,1
50,72,Normal,0
107,92,Normal,0
114,94,Normal,0
111,77,Normal,0
14,76,Normal,1
25,106,Normal,0
93,39,Normal,0
83,45,Normal,0
52,51,Normal,1
79,11,Normal,1
113,39,Normal,0
27,80,Normal,1
60,10,Normal,1
117,107,Normal,0
109,54,Normal,1
114,50,Normal,1
14,13,Normal,0
13,11,Normal,0
115,106,Normal,1
116,108,Normal,1
9,8,Normal,0
22,10,Normal,0
43,43,Normal,0
104,106,Normal,1
14,67,Normal,0
10,7,Normal,0
18,11,Normal,0
102,89,Normal,1
13,11,Normal,0
114,105,Normal,1
94,105,Normal,1
71,78,Normal,1
35,13,Normal,0
79,103,Normal,1
118,110,High,0
110,107,High,0
121,108,High,0
12,9,High,1
8,9,High,1
118,107,High,0
14,11,High,1
13,11,High,1
10,10,High,1
116,107,High,0
67,10,High,0
103,107,High,1
115,109,High,1
23,90,High,0
86,11,High,0
26,28,High,0
114,79,High,1
78,9,High,0
93,85,High,1
38,106,High,1
75,105,VeryHigh,0
13,40,VeryHigh,1
93,85,VeryHigh,0
109,83,VeryHigh,0
46,11,VeryHigh,1
27,29,VeryHigh,1
34,10,VeryHigh,1
115,108,VeryHigh,0
22,63,VeryHigh,1
112,79,VeryHigh,0
50,11,VeryHigh,0
116,103,VeryHigh,1
116,111,VeryHigh,1
113,105,VeryHigh,1
